,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
23,Tim Hardaway,2014,SG,21,NYK,81,1875,12.7,0.5539999999999999,0.521,0.18600000000000003,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,2.7,0.4,3.1,0.08,1.3,-3.5,-2.3,-0.1,0,-0.27
24,Erik Murphy,2014,C,23,CHI,24,62,0.2,0.231,0.231,0.0,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,-0.2,0.1,-0.1,-0.055,-9.8,1.8,-8.1,-0.1,0,-0.27
25,Glen Rice,2014,SG,23,WAS,11,109,6.6,0.39899999999999997,0.45899999999999996,0.18899999999999997,4.2,17.3,10.6,9.3,2.8,0.8,18.3,20.3,-0.3,0.2,-0.1,-0.043,-5.9,0.0,-5.8,-0.1,0,-0.27
26,Kentavious Caldwell-Pope,2014,SG,20,DET,80,1583,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,0.055,-1.2,-0.8,-2.1,0.0,0,0.0
27,Carrick Felix,2014,SG,23,CLE,7,38,13.3,0.603,0.35700000000000004,0.28600000000000003,2.9,15.1,8.9,18.2,0.0,0.0,20.2,23.2,0.0,0.0,0.0,0.057,-1.1,-3.5,-4.7,0.0,0,0.0
28,Solomon Hill,2014,SF,22,IND,28,226,7.6,0.545,0.575,0.175,4.7,15.2,10.2,7.9,1.1,0.7,23.2,11.3,0.0,0.4,0.4,0.08,-3.3,1.0,-2.3,0.0,0,0.0
29,Ricky Ledo,2014,SG,21,DAL,11,33,12.7,0.506,0.47100000000000003,0.235,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,0.0,0.0,0.0,0.024,-1.6,-5.6,-7.2,0.0,0,0.0
30,Zach LaVine,2015,PG,19,MIN,77,1902,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,-0.7,0.0,-0.7,-0.018000000000000002,-1.7,-2.7,-4.5,-1.2,0,-3.24
31,Dante Exum,2015,PG,19,UTA,82,1817,5.7,0.457,0.635,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,-1.1,1.0,-0.1,-0.003,-2.6,-1.3,-3.8,-0.8,0,-2.16
32,Adreian Payne,2015,PF,23,TOT,32,739,7.7,0.44299999999999995,0.040999999999999995,0.209,7.2,18.2,12.5,6.4,1.3,1.0,15.5,17.0,-0.7,0.2,-0.5,-0.033,-4.6,-1.3,-5.9,-0.7,0,-1.89
